File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
GUI_CM4F_L.lib,28.997238%,45140,1357,36986,7321,833,524
lcd.o,9.586946%,14924,94,14912,12,0,94
c_w.l,5.394103%,8397,96,7846,551,0,96
tasks.o,3.910837%,6088,800,6044,44,0,800
wm.o,3.187512%,4962,132,4854,0,108,24
guidrv_template.o,2.276611%,3544,0,3492,52,0,0
queue.o,2.216869%,3451,64,3400,51,0,64
stm32f4xx_hal_rcc.o,1.699749%,2646,0,2646,0,0,0
guidev_32.o,1.613670%,2512,0,2396,116,0,0
guidev_16.o,1.563564%,2434,0,2318,116,0,0
f13_1.o,1.384339%,2155,0,0,2155,0,0
stm32f4xx_hal_uart.o,1.365710%,2126,0,2126,0,0,0
f13_ascii.o,1.314319%,2046,0,0,2046,0,0
btod.o,1.243656%,1936,0,1936,0,0,0
guidev_writetoactiveopaque.o,1.196120%,1862,0,1854,8,0,0
f6x8.o,1.166570%,1816,0,0,1816,0,0
touch.o,1.162716%,1810,72,1738,0,72,0
lcd.o,1.133166%,1764,4,1748,12,4,0
gui_alloc.o,1.067643%,1662,208,1658,0,4,204
heap_4.o,1.028458%,1601,49180,1548,53,0,49180
wm_lib.o,0.939166%,1462,0,1462,0,0,0
gui_touch_calibrate.o,0.898054%,1398,52,1370,0,28,24
timers.o,0.889703%,1385,60,1336,49,0,60
port.o,0.801696%,1248,9,1188,56,4,5
stm32f4xx_hal_gpio.o,0.693775%,1080,0,1080,0,0,0
_printf_fp_dec.o,0.675789%,1052,0,1052,0,0,0
button.o,0.594848%,926,60,866,0,60,0
gui__alpha.o,0.583285%,908,48,860,0,48,0
gui_common.o,0.569153%,886,0,886,0,0,0
guidev.o,0.517762%,806,0,806,0,0,0
_printf_fp_hex.o,0.515192%,802,0,764,38,0,0
button_skinflex.o,0.457378%,712,128,568,16,128,0
gui_core.o,0.438749%,683,239,548,8,127,112
fz_wm.l,0.438106%,682,0,682,0,0,0
stm32f4xx_hal_tim.o,0.427828%,666,0,666,0,0,0
gui__compactpixelindices.o,0.426543%,664,0,664,0,0,0
wm__private.o,0.407272%,634,4,630,0,4,0
gui__divtbl.o,0.390570%,608,0,0,608,0,0
usart.o,0.384146%,598,355,598,0,0,355
gui_dispstring.o,0.368086%,573,1,572,0,1,0
gui__drawtwinarc.o,0.361020%,562,0,562,0,0,0
