File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,60.781334%,49180,1601,1548,53,0,49180
malloc.o,32.306305%,26140,302,258,16,28,26112
GUI_CM4F_L.lib,1.677110%,1357,45140,36986,7321,833,524
startup_stm32f407xx.o,1.265557%,1024,468,76,392,0,1024
tasks.o,0.988716%,800,6088,6044,44,0,800
usart.o,0.438743%,355,598,598,0,0,355
gui_core.o,0.295379%,239,683,548,8,127,112
gui_alloc.o,0.257066%,208,1662,1658,0,4,204
wm.o,0.163138%,132,4962,4854,0,108,24
button_skinflex.o,0.158195%,128,712,568,16,128,0
gui_onkey.o,0.128533%,104,118,102,0,16,88
c_w.l,0.118646%,96,8397,7846,551,0,96
libspace.o,0.118646%,96,8,8,0,0,96
lcd.o,0.116174%,94,14924,14912,12,0,94
sram.o,0.098872%,80,526,526,0,0,80
wm_touch.o,0.088984%,72,0,0,0,0,72
touch.o,0.088984%,72,1810,1738,0,72,0
btim.o,0.088984%,72,64,64,0,0,72
queue.o,0.079097%,64,3451,3400,51,0,64
button.o,0.074154%,60,926,866,0,60,0
timers.o,0.074154%,60,1385,1336,49,0,60
gui_touch_driveranalog.o,0.069210%,56,268,212,0,56,0
gui_touch_calibrate.o,0.064267%,52,1398,1370,0,28,24
gui__alpha.o,0.059323%,48,908,860,0,48,0
gui_multibuf.o,0.054379%,44,276,232,0,44,0
gui_task.o,0.034605%,28,408,380,0,28,0
lcd_aa.o,0.029661%,24,120,96,0,24,0
gui__managecache.o,0.029661%,24,252,228,0,24,0
lcd_color.o,0.024718%,20,316,296,0,20,0
gui_timer.o,0.024718%,20,374,354,0,20,0
gui__private.o,0.024718%,20,502,482,0,20,0
freertos_demo.o,0.019774%,16,374,338,36,0,16
gui_waitevent.o,0.014831%,12,28,16,0,12,0
button_skin.o,0.014831%,12,186,174,0,12,0
gui_x_freertos.o,0.014831%,12,220,220,0,0,12
stm32f4xx_hal.o,0.011123%,9,217,212,0,5,4
port.o,0.011123%,9,1248,1188,56,4,5
lcd_getex.o,0.009887%,8,440,432,0,8,0
guicc_m565.o,0.009887%,8,290,258,24,8,0
wm__private.o,0.004944%,4,634,630,0,4,0
window.o,0.004944%,4,482,478,0,4,0
widget_effect_simple.o,0.004944%,4,176,144,28,4,0
widget.o,0.004944%,4,488,484,0,4,0
lcd.o,0.004944%,4,1764,1748,12,4,0
guidev_banding.o,0.004944%,4,356,352,0,4,0
gui_time.o,0.004944%,4,116,112,0,4,0
gui_charline.o,0.004944%,4,502,498,0,4,0
gui_char.o,0.004944%,4,346,326,16,4,0
system_stm32f4xx.o,0.004944%,4,46,18,24,4,0
main.o,0.004944%,4,92,88,0,4,0
guidemo.o,0.004944%,4,402,304,98,0,4
guiconf.o,0.004944%,4,56,52,0,4,0
delay.o,0.004944%,4,294,294,0,0,4
guidev_staticdevices.o,0.001236%,1,367,366,0,1,0
gui_dispstring.o,0.001236%,1,573,572,0,1,0
