File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd.o,25.502762%,13252,94,13252,0,0,94
tasks.o,7.686238%,3994,804,3930,0,64,740
stm32f4xx_ll_usb.o,7.293651%,3790,0,3790,0,0,0
stm32f4xx_hal_pcd.o,6.212112%,3228,0,3228,0,0,0
mc_w.l,5.249889%,2728,4,2724,0,4,0
printfa.o,4.268422%,2218,0,2218,0,0,0
usbd_ctlreq.o,4.162577%,2163,1,2162,0,1,0
stm32f4xx_hal_rcc.o,3.502492%,1820,0,1820,0,0,0
stm32f4xx_hal_uart.o,3.456306%,1796,0,1796,0,0,0
queue.o,3.029078%,1574,64,1574,0,0,64
usbd_cdc.o,2.403633%,1249,271,978,0,271,0
port.o,2.259300%,1174,12,1162,0,12,0
mf_w.l,2.197718%,1142,0,1142,0,0,0
timers.o,2.120740%,1102,60,1082,0,20,40
usbd_core.o,1.932144%,1004,0,1004,0,0,0
heap_4.o,1.693513%,880,49184,848,0,32,49152
usbd_conf.o,1.591517%,827,1033,826,0,1,1032
stm32f4xx_hal_can.o,1.458730%,758,0,758,0,0,0
malloc.o,1.108481%,576,34852,504,36,36,34816
stm32f4xx_hal_gpio.o,1.016108%,528,0,528,0,0,0
usbd_desc.o,0.985316%,512,334,434,0,78,256
startup_stm32f407xx.o,0.854454%,444,1024,52,392,0,1024
usart.o,0.837134%,435,271,432,0,3,268
usbd_cdc_interface.o,0.823663%,428,1352,396,0,32,1320
stm32f4xx_hal_cortex.o,0.662009%,344,0,344,0,0,0
dadd.o,0.642765%,334,0,334,0,0,0
can.o,0.615823%,320,92,320,0,0,92
stm32f4xx_ll_fsmc.o,0.446472%,232,0,232,0,0,0
dmul.o,0.438774%,228,0,228,0,0,0
stm32f4xx_hal.o,0.429152%,223,9,214,0,9,0
ddiv.o,0.427227%,222,0,222,0,0,0
stm32f4xx_hal_dma.o,0.404134%,210,0,210,0,0,0
sys.o,0.392587%,204,0,204,0,0,0
depilogue.o,0.357947%,186,0,186,0,0,0
freertos_start.o,0.354098%,184,12,172,0,12,0
delay.o,0.338703%,176,4,172,0,4,0
usbd_ioreq.o,0.334854%,174,0,174,0,0,0
led.o,0.292516%,152,0,152,0,0,0
list.o,0.284818%,148,0,148,0,0,0
uldiv.o,0.188596%,98,0,98,0,0,0
stm32f4xx_hal_pcd_ex.o,0.173200%,90,0,90,0,0,0
stm32f4xx_hal_sram.o,0.169351%,88,0,88,0,0,0
__dczerorl2.o,0.165502%,86,0,86,0,0,0
main.o,0.146258%,76,0,76,0,0,0
dfixui.o,0.096222%,50,0,50,0,0,0
dfixul.o,0.092373%,48,0,48,0,0,0
cdrcmple.o,0.092373%,48,0,48,0,0,0
system_stm32f4xx.o,0.092373%,48,4,20,24,4,0
uidiv.o,0.084676%,44,0,44,0,0,0
memseta.o,0.069280%,36,0,36,0,0,0
memcpya.o,0.069280%,36,0,36,0,0,0
llsshr.o,0.069280%,36,0,36,0,0,0
init.o,0.069280%,36,0,36,0,0,0
llushr.o,0.061582%,32,0,32,0,0,0
llshl.o,0.057733%,30,0,30,0,0,0
handlers.o,0.057733%,30,0,30,0,0,0
dfltui.o,0.050036%,26,0,26,0,0,0
stm32f4xx_it.o,0.038489%,20,0,20,0,0,0
fputc.o,0.034640%,18,0,18,0,0,0
entry9a.o,0.015396%,8,0,8,0,0,0
entry2.o,0.015396%,8,0,8,0,0,0
stdout.o,0.007698%,4,4,0,0,4,0
entry5.o,0.007698%,4,0,4,0,0,0
entry12b.o,0.007698%,4,0,4,0,0,0
