File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,48.412785%,49184,880,848,0,32,49152
malloc.o,34.305511%,34852,576,504,36,36,34816
ai_task.o,8.067485%,8196,120,116,0,4,8192
norflash.o,4.120363%,4186,1480,1478,0,2,4184
usbd_conf.o,1.016802%,1033,509,508,0,1,1032
startup_stm32f407xx.o,1.007944%,1024,468,76,392,0,1024
tasks.o,0.791393%,804,3994,3930,0,64,740
error_log_task.o,0.614216%,624,322,248,50,24,600
fattester.o,0.377979%,384,96,96,0,0,384
usart.o,0.273641%,278,562,552,0,10,268
sdio_sdcard.o,0.161428%,164,628,628,0,0,164
c_w.l,0.094495%,96,8081,7530,551,0,96
libspace.o,0.094495%,96,8,8,0,0,96
dma.o,0.094495%,96,200,200,0,0,96
lcd.o,0.092526%,94,13252,13252,0,0,94
can.o,0.090557%,92,416,416,0,0,92
dht11.o,0.088589%,90,442,436,0,6,84
sram.o,0.078746%,80,512,512,0,0,80
queue.o,0.062996%,64,1574,1574,0,0,64
timers.o,0.059059%,60,1102,1082,0,20,40
dht11_task.o,0.023624%,24,136,128,0,8,16
exfuns.o,0.015749%,16,262,246,0,16,0
port.o,0.011812%,12,1174,1162,0,12,0
ff.o,0.009843%,10,16250,16036,204,10,0
stm32f4xx_hal.o,0.008859%,9,223,214,0,9,0
can_task.o,0.007875%,8,116,108,0,8,0
system_stm32f4xx.o,0.003937%,4,48,20,24,4,0
led_task.o,0.003937%,4,104,100,0,4,0
freertos_start.o,0.003937%,4,100,96,0,4,0
delay.o,0.003937%,4,176,172,0,4,0
usbd_ctlreq.o,0.000984%,1,2057,2056,0,1,0
