File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd.o,25.461601%,13252,94,13252,0,0,94
tasks.o,7.673833%,3994,804,3930,0,64,740
stm32f4xx_ll_usb.o,7.281880%,3790,0,3790,0,0,0
stm32f4xx_hal_pcd.o,6.202086%,3228,0,3228,0,0,0
mc_w.l,5.241416%,2728,4,2724,0,4,0
printfa.o,4.261533%,2218,0,2218,0,0,0
usbd_ctlreq.o,4.155859%,2163,1,2162,0,1,0
stm32f4xx_hal_rcc.o,3.496839%,1820,0,1820,0,0,0
stm32f4xx_hal_uart.o,3.450727%,1796,0,1796,0,0,0
queue.o,3.024190%,1574,64,1574,0,0,64
usbd_cdc.o,2.399754%,1249,271,978,0,271,0
port.o,2.255654%,1174,12,1162,0,12,0
mf_w.l,2.194171%,1142,0,1142,0,0,0
timers.o,2.117317%,1102,60,1082,0,20,40
usbd_core.o,1.929026%,1004,0,1004,0,0,0
heap_4.o,1.690779%,880,49184,848,0,32,49152
usbd_conf.o,1.588948%,827,1033,826,0,1,1032
stm32f4xx_hal_can.o,1.456376%,758,0,758,0,0,0
malloc.o,1.106692%,576,34852,504,36,36,34816
stm32f4xx_hal_gpio.o,1.052894%,548,0,548,0,0,0
usbd_desc.o,0.983726%,512,334,434,0,78,256
startup_stm32f407xx.o,0.853075%,444,1024,52,392,0,1024
usart.o,0.835783%,435,271,432,0,3,268
usbd_cdc_interface.o,0.822334%,428,1352,396,0,32,1320
stm32f4xx_hal_cortex.o,0.660941%,344,0,344,0,0,0
dadd.o,0.641728%,334,0,334,0,0,0
can.o,0.614829%,320,92,320,0,0,92
freertos_start.o,0.468807%,244,12,232,0,12,0
stm32f4xx_ll_fsmc.o,0.445751%,232,0,232,0,0,0
dmul.o,0.438066%,228,0,228,0,0,0
stm32f4xx_hal.o,0.428459%,223,9,214,0,9,0
ddiv.o,0.426538%,222,0,222,0,0,0
stm32f4xx_hal_dma.o,0.403481%,210,0,210,0,0,0
sys.o,0.391953%,204,0,204,0,0,0
depilogue.o,0.357369%,186,0,186,0,0,0
delay.o,0.338156%,176,4,172,0,4,0
usbd_ioreq.o,0.334313%,174,0,174,0,0,0
led.o,0.292044%,152,0,152,0,0,0
list.o,0.284358%,148,0,148,0,0,0
uldiv.o,0.188291%,98,0,98,0,0,0
stm32f4xx_hal_pcd_ex.o,0.172921%,90,0,90,0,0,0
stm32f4xx_hal_sram.o,0.169078%,88,0,88,0,0,0
__dczerorl2.o,0.165235%,86,0,86,0,0,0
main.o,0.153707%,80,0,80,0,0,0
dfixui.o,0.096067%,50,0,50,0,0,0
dfixul.o,0.092224%,48,0,48,0,0,0
cdrcmple.o,0.092224%,48,0,48,0,0,0
system_stm32f4xx.o,0.092224%,48,4,20,24,4,0
uidiv.o,0.084539%,44,0,44,0,0,0
memseta.o,0.069168%,36,0,36,0,0,0
memcpya.o,0.069168%,36,0,36,0,0,0
llsshr.o,0.069168%,36,0,36,0,0,0
init.o,0.069168%,36,0,36,0,0,0
llushr.o,0.061483%,32,0,32,0,0,0
llshl.o,0.057640%,30,0,30,0,0,0
handlers.o,0.057640%,30,0,30,0,0,0
dfltui.o,0.049955%,26,0,26,0,0,0
stm32f4xx_it.o,0.038427%,20,0,20,0,0,0
fputc.o,0.034584%,18,0,18,0,0,0
entry9a.o,0.015371%,8,0,8,0,0,0
entry2.o,0.015371%,8,0,8,0,0,0
stdout.o,0.007685%,4,4,0,0,4,0
entry5.o,0.007685%,4,0,4,0,0,0
entry12b.o,0.007685%,4,0,4,0,0,0
