File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
malloc.o,69.168633%,34852,576,504,36,36,34816
heap_4.o,20.386211%,10272,880,848,0,32,10240
usbd_cdc_interface.o,2.683232%,1352,428,396,0,32,1320
usbd_conf.o,2.050132%,1033,827,826,0,1,1032
startup_stm32f407xx.o,2.032270%,1024,444,52,392,0,1024
tasks.o,1.595650%,804,3994,3930,0,64,740
usbd_desc.o,0.662869%,334,512,434,0,78,256
usbd_cdc.o,0.537837%,271,1249,978,0,271,0
usart.o,0.537837%,271,435,432,0,3,268
queue.o,0.127017%,64,1574,1574,0,0,64
timers.o,0.119078%,60,1102,1082,0,20,40
port.o,0.023816%,12,1174,1162,0,12,0
freertos_start.o,0.023816%,12,236,224,0,12,0
stm32f4xx_hal.o,0.017862%,9,223,214,0,9,0
mc_w.l,0.007939%,4,2728,2724,0,4,0
stdout.o,0.007939%,4,4,0,0,4,0
system_stm32f4xx.o,0.007939%,4,48,20,24,4,0
delay.o,0.007939%,4,80,76,0,4,0
usbd_ctlreq.o,0.001985%,1,2163,2162,0,1,0
